INFO:root:2016-08-20 02:08:00.623076  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:08:00.715971  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:08:00.716151  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:08:00.716266 -> waiting for next log update
INFO:root:2016-08-20 02:09:00.904433  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:09:00.904693  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:09:01.017606  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:09:01.017783  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:09:01.017850 -> waiting for next log update
INFO:root:2016-08-20 02:10:01.203809  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:10:01.204192  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:10:01.310283  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:10:01.310441  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:10:01.310507 -> waiting for next log update
INFO:root:2016-08-20 02:11:01.492239  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:11:01.492510  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:11:01.605406  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:11:01.605604  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:11:01.605717 -> waiting for next log update
INFO:root:2016-08-20 02:12:01.792698  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:12:01.792914  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:12:01.897602  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:12:01.897970  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:12:01.898120 -> waiting for next log update
INFO:root:2016-08-20 02:13:02.083948  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:13:02.084338  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:13:02.182171  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:13:02.182325  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:13:02.182393 -> waiting for next log update
INFO:root:2016-08-20 02:14:02.366564  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:14:02.366767  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:14:02.513238  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:14:02.513545  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 02:14:02.513709 -> waiting for next log update
INFO:root:2016-08-20 02:15:02.706567  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 02:15:02.706884  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 02:15:02.853394  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 02:15:02.853586  -> Fetching Data ended for 10.3.10.191
